code,display_en,display_fi
PH7YT,Dilatation of inferior vena cava or lower extremity vein with stent,Dilatation av vena cava inferior eller nedre extremitetsvener med stent
PH7ZT,Intravenous removal of filter to inferior vena cava,Intravenös avlägsnandeav v. cava interior filter
PH8AC,Cavernosography with X-ray,Kavernosografi
PH8BC,Cavernosgraphy and measurement with X-ray,Kavernosografi med mätning
PH9AC,,Flebografi av vena ovarica
PH9AT,Expansion (PTA) of vein not elsewhere classified,Perkutan angioplastik av annan ven
PH9ST,Intravenous thrombolysis of other vein,"Annan ven, trombolys"
PH900,Endovascular thrombolysis of vein with radiological guidance not elsewhere classified,Intravenöst trombolys
PJ,Lymphatic system,Lymfatisk system
PJ_,Diagnostic radiology on lymphatic system,Diagnostis radiologi av lymfsystemet
PJA,Exploration of lymph nodes,Exploration och biopsi av lymfkörtlar
PJA01,,Laparoskopisk borttagning av vaktknuta
PJA10,Exploration of lymph nodes,Exploration/biopsi av lymfkörtlar
PJA12,Sentinel node biopsy,Excision av märkt sentinel lymfkörtel
PJB,Ligature of lymphatic vessels,Ligatur av lymfkärl
PJB10,Ligature of thoracic duct,Tillslutning av läcka från ductus thoracicus
PJB99,Ligature of other lymphatic vessel,Tillslutning av läcka från annat lymfkärl
PJD,Excision and block dissection of lymph nodes,Exstirpationer och utrymningar av lymfkörtlar
PJD41,Excision of cervical lymph nodes,Exstirpation av cervikala lymfkörtlar
PJD42,Excision of axillary lymph nodes,Exstirpation av axillära lymfkörtlar
PJD43,Excision of aortic lymph nodes,Exstirpation av para-aortala lymfkörtlar
PJD44,Excision of iliac lymph nodes,Exstirpation av av iliakala lymfkörtlar
PJD45,Excision of inguinal lymph nodes,Exstirpation av inguinala lymfkörtlar
PJD51,Block dissection of cervical lymph nodes,Radikal utrymning av cervikala lymfkörtlar
PJD52,Block dissection of axillary lymph nodes,Radikal utrymning av axillära lymfkörtlar
PJD53,Block dissection of aortic lymph nodes,Radikal utrymning av para-aortala lymfkörtlar
PJD54,Block dissection of iliac lymph nodes,Radikal utrymning av iliakala lymfkörtlar
PJD55,Block dissection of inguinal lymph nodes,Radikal utrymning av inguinala lymfkörtlar
PJD63,Laparoscopic dissection of aortic lymph nodes,Laparoskopisk radikal utrymning av para-aortala lymkörtlar
PJD64,Laparoscopic dissection of iliac lymph nodes,Laparoskopisk radikal utrymning av iliakala lymkörtlar
PJD71,Extended sparing excision of cervical lymph nodes,"Exstrirpation av cervikala lymfkörtlar, minst 5 regioner"
PJD81,Excision of lymph nodes from upper part of neck,"Exstrirpation av cervikala lymfkörtlar, sammanlagt 3-4 regioner"
PJD91,,"Exstirpation av cervikala lymfkörtlar, totalt från 1-2 regioner"
PJD97,Laparoscopic dissection of other lymph nodes,"Endoskopisk, radikal utrymning av andra lymfkörtlar"
PJD98,Other block dissection of lymph nodes,Annan radikal regional lymfkörtelutrymning
PJD99,Excision of other lymph nodes,Exstirpation av andra lymfkörtlar
PJW,Other operations on lymphatic system,Andra operationer på det lymfatiska systemet
PJW10,Incision of lymph node,Incision av lymfkörtel
PJW20,Lymphovenous shunt,Lymfovenös anastomos
PJW30,,Exstirpation av lokal lymfatisk malformation genom operation
PJW40,,Exstirpation av omfattande lymfatisk malformation genom operation
PJW91,Connection of lymph channels with microsurgery,Mikrokirurgisk lymkärlsanastomos
PJW99,Other operation on lymphatic system,Annan operation på lymfsystemet
PJ0,,Strålbehandling av lymfsystemet
PJ000,"Profylactic radiotherapy of neck, clavicle and axilla","Profylaktisk strålbehandling av hals, klavikelområdet och axilla"
PJ001,"Preoperative radiotherapy of neck, clavicle and axilla","Preoperativ behandling av hals, klavikelområdet och axilla"
PJ002,"Radical radiotherapy of neck, clavicle and axilla","Radikal strålbehandling av av hals, klavikelområdet och axilla"
PJ003,"Adjuvant radiotherapy of neck, clavicle and axilla","Adjuvant strålbehandling av hals, klavikelområdet och axilla"
PJ004,"Palliative radiotherapy of neck, clavicle and axilla","Palliativ strålbehandling av hals, klavikelområdet och axilla"
PJ020,Profylactic radiotherapy of mediastinal lymphnodes,Profylaktisk strålbehandling av lymfknöter i  mediastinum
PJ021,Preoperative radiotherapy of mediastinal lymphnodes,Preoperativ  strålbehandling av av lymfknöter i  mediastinum
PJ022,Radical radiotherapy of mediastinal lymphnodes,Radikal strålbehandling av av lymfknöter i  mediastinum
PJ023,Adjuvant radiotherapy of mediastinal lymphnodes,Adjuvant strålbehandling av av lymfknöter i  mediastinum
PJ024,Palliative radiotherapy of mediastinal lymphnodes,Palliativ strålbehandling av av lymfknöter i  mediastinum
PJ040,Profylactic radiotherapy of retroperitoneal and mesenterial lymphnodes,Profylaktisk strålbehandling av retroperitoneala och mesenteriala lymfknöter
PJ041,Preoperative radiotherapy of retroperitoneal and mesenterial lymphnodes,Preoperativ strålbehandling av retroperitoneala och mesenteriala lymfknöter
PJ042,Radiotherapy of methastasis in lymphnodes of lower part of body with mantel field,Strålbehandling av metastas i lymfknöter i nedre delen av kroppen med mantelfält
PJ043,Adjuvant radiotherapy of retroperitoneal and mesenterial lymphnodes,Adjuvant strålbehandling av retroperitoneala och mesenteriala lymfknöter
PJ044,Palliative radiotherapy of retroperitoneal and mesenterial lymphnodes,Palliativ strålbehandling av retroperitoneala och mesenteriala lymfknöter
PJ060,Profylactic radiotherapy of pelvic lymphnodes,Profylaktisk strålbehandling av lymfknöter i pelvis
PJ061,Preoperative radiotherapy of pelvic lymphnodes,Preoperativ strålbehandling av lymfknöter i pelvis
PJ062,Radical radiotherapy of pelvic lymphnodes,Radikal strålbehandling av lymfknöter i pelvis
PJ063,Adjuvant radiotherapy of pelvic lymphnodes,Adjuvant strålbehandling av lymfknöter i pelvis
PJ064,Palliative radiotherapy of pelvic lymphnodes,Palliativ strålbehandling av lymfknöter i pelvis
PJ1AC,lyphography with X-ray,Lymfografi
PJ1AN,Lymphsystem isotope imaging,Lymfsystem isotopundersökning
PJ1AT,,"Blockagebehandling av lymfsystem, radiologiskt styrd"
PJ1KJ,,
PJ1PG,,"Lymfsystem, MR"
PJ1PJ,,
PJ1SN,Lymphsystem SPECT,Lymfsystem SPET
PJ_2,Other procedures of lymphatic system,Andra åtgärder på lymfsystemet
PJ2AC,,Intranodal lymfografi
PJ2AE,Lymphnode ultrasound examination,"Lymfknutor, UL"
PJ2AG,,Intranodal magnetlymfografi (genomlysningsstyrning och MR ingår)
PJ2AT,Biopsy of lymphnode with ultrasound guidance,"Lymfknuta, UL-styrd vävnadsbiopsi"
PJ2CT,Biopsy of lymphnode with CT guidance,"Lymfknuta, DT-styrd vävnadsbiopsi"
PJ2D3,,Histologisk undersökning av lymfkörtel
PJ2HT,Biopsy of deep lymphnode with ultrasound guidance,"Lymfknuta, UL-styrd djup vävnadsbiopsi"
PJ3AT,Cytology of lymphnode with ultrasound guidance,"Lymfknuta, UL-styrd finnålsbiopsi"
PJ3CT,Cytology of lymphnode with CT guidance,"Lymfknuta, DT-styrd finnålsbiopsi"
PJ3HT,Cytology of deep lymphnode with ultrasound guidance,"Lymfknuta, UL-styrd djup finnålsbiopsi"
PJ4AT,Labeling lymphnode with ultrasound guidance,"Lymfknuta, UL-styrd märkning"
PJ4CT,Labeling lymphnode with CT guidance,"Lymfknuta, DT-styrd märkning"
PJ5AN,Localisation of sentinell lymphnode with isotope imaging,Sentinell lymfnod lokalisering med isotopundersökning
PJ5AQ,Sentinell lymphnode SPECT with low dose CT,Sentinell lymfknot SPET med låg dos DT
PJ5D3,,Undersökning av portvaktsknuta
PJ5SN,Sentinell SPECT with low dose CT,Sentinell lymfnod SPET
PK1KJ,,
PK1PJ,,
PW,Reoperations on peripheral vessels and lymphatic system,Operationer för komplikationer av kärlkirugin
PWA00,Repair of wound dehiscence in surgery of peripheral vessels and lymphatic system,Revision för sårruptur/sårinfektion efter kärloperation
PWC00,Reoperation for deep infection in surgery of peripheral vessels and lymphatic system,Incision/dränage av infekterad sårhåla efter kärloperation
PWE00,Reoperation for deep haemorrhage in surgery of peripheral vessels and lymphatic system,Reoperation för blödning efter kärloperation
PWF00,Reoperation for insufficiency of anastomosis or suture in surgery of peripheral vessels and lymphatic system,Reoperation för kärlsuturruptur efter kärloperation
PWG00,Reoperation on peripheral vessels for thrombosis or embolism,Åtgärd för trombos/tilltäppning efter kärloperation
PWH00,Reoperation for lymfocele in surgery of peripheral vessels and lymphatic system,Reoperation för lymfocele
PWW99,Other reoperation on peripheral vessels or lymphatic system,Annan reoperation för komplikation efter operation på blodkärl/lymfvägar
PX,Other vascular procedurecodes,Koder för andra blodkärlsåtgärder
PX_,Other diagnostic radiology on peripheral vessels and lymphatic system,Annan diagnostisk radiologi av blodkärler eller lymfsystemet
PXA,Extracorporal circulation of different vascular sites,Extrakorporeal cirkulering av organ eller organsystem med hjärt-lungmaskin
PXA00,Extracorporal circulation of upper extremity using heart-lung assist device,Extrakorporeal cirkulation av övre extremität med hjärt-lungmaskin
PXA10,Extracorporal circulation of liver using heart-lung assist device,Extrakorporeal cirkulation av lever med hjärt-lungmaskin
PXA20,Extracorporal circulation of lower extremity using heart-lung assist device,Extrakorporeal cirkulation av nedre extremitet med hjärt-lungmaskin
PXA90,Extracorporal circulation of whole body using heart-lung assist device,Ekstrakorporeal circulation av hela kroppen med hjärt-lungmaskin
PXH,Bypass involving other defined vascular sites,Bypass i andra angivna vaskulära regioner
PXH10,Bypass from aortic arch to carotid artery,Bypass från aortabåge till a carotis
PXX,Miscellaneous procedures on other defined vascular sites,Diverse operationer på andra angivna vaskulära regioner
PXX00,Isolated perfusion of medication in the upper extremity,Isolerad läkemedelsperfusion i övre extremiteten
PXX01,Isolated perfusion of medication in the lower extremity,Isolerad läkemedelsperfusion i nedre extremiteten
PX_2,Other diagnostic procedures on peripheral vessels and lymphatic system,Andra diagnostiska åtgärder av perifera blodkärl och lymfsystemet
Q,Skin and subcutaneous tissue,Hud och subkutana vävnader
QA,Skin and sucutaneous tissue of head and neck,Hud och subkutana vävnader i huvud-halsregionen
QA_,Head and neck dermatologic interventions,Huvud och hals dermatologiska åtgärder
QAA,Incision of skin of head and neck,"Incision, biopsi och destruktion vid hudförändring i huvud-halsregionen"
QAA00,Puncture of skin of head or neck,Punktion i huvud-halsregionen
QAA05,Incision for biopsy of skin of head or neck,Biopsi av hud/subkutan vävnad i huvud-halsregionen
QAA10,Incision of skin of head or neck,Incision/dränage i huvud-halsregionen
QAA25,Destruction of lesion of head or neck,Behandling av lokal hudförändring i huvud-halsregionen
QAA30,Electrocoagulation of skin of head or neck,Koagulation av hudförändring i huvud-halsregionen
QAA40,Laser therapy or photocoagulation of skin of head or neck,Laserbehandling eller fotokoagulation av hudförändring i huvud-halsregionen
QAA50,Cryotherapy of skin of head or neck,Kryoterapi av hudförändring i huvud-halsregionen
QAA60,Chemical treatment of skin of head and neck,Kemisk behandling av hud i huvud-hals regionen
QAA99,Other local destruction of skin of head or neck,"Annan punktion, incision, biopsi eller destruktion vid hudförändring i huvud-halsregionen"
QAB,Procedures for wounds of skin of head and neck,Sårbehandling i huvud-halsregionen
QAB00,Suture of skin of head or neck,Hudsutur i huvud-halsregionen
QAB05,Revision of wound of skin of head or neck,Revision och vid behov sutur av djupt sår i huvud-halsregionen
QAB10,Major dressing of wound of skin of head or neck,Inspektion/förbandsbyte för sår i huvud-halsregionen
QAB99,Other procedure for wound of skin,Annan sårbehandling i huvud-halsregionen
QAC,Removal of foreign body from head and neck,Avlägsnande av kutan främmande kropp i huvud-halsregionen
QAC00,Removal of foreign body from skin or subcutaneous tissue of head or neck,Avlägsnande av kutan främmande kropp i huvud-halsregionen
QAD,Procedures for burns of head and neck,Behandling av brännskador i huvud-halsregionen
QAD00,Dressing of major burn of head or neck,Omläggning vid brännskada i huvud-halsregionen
QAD10,Debridement of burn of head or neck,"Revision av brännskada i huvud-halsregionen, débridement"
QAD20,Excision of burn of head or neck and coverage,Excision och täckning med transplantat av brännskada i huvud-halsregionen
QAE,Excision and repair of lesion of skin of head and neck,Excision och rekonstruktion vid hudförändringar i huvud-halsregionen
QAE00,Excision of loose skin or fold of skin from head and neck,Excision av hudveck eller överflödig hud i huvud-halsregionen
QAE10,Excision of other lesion extending through all layers of skin in head or neck,Excision av kutan eller subkutan förändring i huvud-halsregionen
QAE15,Excision of other superficial lesion of skin from head and neck,Excision av ytlig hudförändring i huvud-halsregionen
QAE20,Excision and repair of scar or web of skin of head or neck,Excision av ärr i huvud-halsregionen
QAE25,Excision and repair of scar of head or neck caused by burn,Excision/revision av ärr efter brännskada i huvud-halsregionen
QAE30,Excision and repair of surgical scar in head or neck,Excision/revision av operationsärr i huvud-halsregionen
QAE35,Repair of skin defect in head or neck after surgery or injury,Rekonstruktion p.g.a. huddefekt efter skada eller operation i huvud-halsregionen
QAE40,Repair of anomaly or lesion after disease of skin of head or neck,Rekonstruktion vid missbildning eller hudsjukdom i huvud-halsregionen
QAE50,Dermabrasion of superficial lesion of skin of head or neck,Dermabrasion av ytlig hudföränding i huvud-halsregionen
QAE99,,Annan kutan / subkutan excision eller rekonstruktion i huvud-halsregionen
QAF,Operations on scalp and eyebrow,Operationer på kapillitiet och ögonbrynen
QAF00,Hair bearing graft of skin to scalp,Rekonstruktion av kapillitiet med hårbärande transplantat
QAF10,Repair of eyebrow using hair bearing graft of skin,Rekonstruktion av ögonbryn med hårbärande transplantat
QAF99,Other operations on hair bearing skin of head or neck,Annan operation på kapillitiet
QAG,Operations for chronic ulcers and fistulae of skin of head and neck,Operationer för kroniska sår och fistlar i huvud-halsregionen
QAG00,Debridement of bedsore of head or neck,Trycksår operation i huvudområdet
QAG10,Excision and repair of bedsore of head or neck,Excision med rekonstruktion vid liggsår på huvudregionen
QAG20,Operation for chronic ulcer or fistula of skin of head or neck,Excision av kroniskt sår i huvud-halsregionen
QAG30,Delayed skin closure of surgical wound in head or neck,Planerad sekundärsutur av hud i huvud-halsregionen
QAG99,Other operation for chronic ulcer or fistula of skin of head or neck,Annan operation för kroniskt sår i huvud-halsregionen
QAJ,Aesthetic operations on skin of head and neck,Operationer av estetiska skäl i huvud-halsregionen
QAJ00,Liposuction in head or neck,Fettsugning i huvud-halsregionen
QAJ05,Other correction of loose or redundant skin of head or neck,Estetiskt betingad hudresektion i huvud-halsregionen
QAJ10,Browlift,Lyftning av ögonbryn
QAJ15,Browlift using video-endoscope,Endoskopisk lyftning av ögonbryn
QAJ20,Subperiosteal facelift,Subperiostal ansiktslyftning
QAJ25,Facelift using video-endoscope,Endoskopisk ansiktslyftning
QAJ30,Other facelift,Annan ansiktslyftning
QAJ35,Other correction of loose or redundant skin of head or neck,Annan korrektion av hudöverskott i huvud-halsregionen
QAJ99,Other aesthetic operations on skin of head or neck,Annan estetiskt betingad operation i huvud-halsregionen
QAZ00,Botulin injections for hyperhidrosis of head and neck,Botulin-injektioner för hyperhidros i huvud och hals
QA0,Radiotherapy of skin of head and neck,Strålbehandling av hud i huvud och hals
QA001,Local radiotherapy of skin of head and neck,Lokal strålbehandling av hud i huvud-halsregionen
QA1J4,,Termografi av huvudregionen
QA1S1,,Fotografering av hud eller subkutan vävnad på skallområdet
QA2S1,,"Fotografering av hud eller subkutan vävnad på hjässa, panna, tinningar eller hårbottnen"
QA3S1,,Fotografering av hud eller subkutan vävnad på öronbladet
QA4J4,,Termografi av ansiktet
QA4S1,,Fotografering av hud eller subkutan vävnad i ansiktet
QA5S1,,Fotografering av hud eller subkutan vävnad i ögonområdet
QA6S1,,Fotografering av hud eller subkutan vävnad på kinder eller näsa
QA7S1,,Fotografering av hud eller subkutan vävnad på haka eller läppar
QA8J4,,Termografi av hals- eller nackregionen
QA8S1,,Fotografering av hud eller subkutan vävnad på halsområdet
QA9S1,,"Fotografering av hud eller subkutan vävnad på huvud eller hals, ospecificerat"
QA9V1,,Videoavbildning av hud eller subkutan vävnad på huvud eller hals
QB,Skin and subcutaneous tissue of trunk,Hud och subkutan vävnad på bålen
QB_,Body dermatologic interventions,Kroppens dermatologiska åtgärder
QBA,Incision or local destruction of lesion of skin of trunk,"Incision, biopsi och destruktion vid hudförändring på bålen"
QBA00,Puncture of skin of trunk,Punktion på bålen
QBA10,Incision of skin of trunk,Incision/dränage på bålen
QBA25,Destruction of lesion of skin of trunk,Destruktion av hudförändring på bålen
QBA30,Electrocoagulation of skin of trunk,Elektrokoagulation av hudförändring på bålen
QBA40,Laser therapy or photocoagulation of skin of trunk,Laserbehandling eller fotokoagulation av hudförändring på bålen
QBA50,Cryotherapy of skin of trunk,Kryoterapi av hudförändring på bålen
QBA60,Chemical treatment of skin of trunk,Kemisk behandling av hud på bålen
QBA99,Other local destruction of skin of trunk,"Annan punktion, incision, biopsi eller destruktion  vid hudförändring på bålen"
QBB,Procedures for wounds of skin,Sårbehandling på bålen
QBB00,Suture of skin of trunk,Hudsutur på bålen
QBB05,Revision of wound of skin of trunk,Revision och sutur av djupt sår på bålen
QBB10,Major dressing of wound of skin of trunk,Inspektion/förbandsbyte vid sår på bålen
QBB99,Other procedure for wound of skin of trunk,Annan sårbehandling på bålen
QBC,Removal of foreign body from skin of trunk,Avlägsnande av kutan/subkutan främmande kropp från bålen
QBC00,Removal of foreign body from skin of trunk or subcutaneous tissue,Avlägsnande av kutan/subkutan främmande kropp från bålen
QBD,Procedures for burns of trunk,Behandling av brännskador på bålen
QBD00,Dressing of major burn of trunk,Förbandsbyte vid brännskada på bålen
QBD10,Debridement of burn of trunk,"Revision av brännskada på bålen, débridement"
QBD20,Excision of burn of trunk and coverage,Excision och täckning av brännskada på bålen
QBE,Excision and repair of lesion of skin of trunk,Excision och rekonstruktion vid kutana/subkutana förändringar på bålen
QBE00,Excision of loose skin or fold of skin from trunk,Excision av hudveck eller överflödig hud på bålen
QBE05,Excision of sweat glands or sweat gland bearing skin from trunk,Excision av svettkörtlar eller hud med svettkörtlar från bålen
QBE10,Excision of other lesion extending through all layers of skin of trunk,Excision av kutan/subkutan förändring från all skikter av hud på bålen
QBE15,Excision of other superficial lesion of skin of trunk,Excision av ytlig hudförändring på bålen
QBE20,Excision and repair of scar or web of skin of trunk,Excision av ärr på bålen
QBE25,Excision and repair of scar of trunk caused by burn,Excision/revision av ärr efter brännskada på bålen
QBE30,Excision and repair of surgical scar in trunk,Excision/revision av operationsärr på bålen
QBE35,Repair of skin defect in trunk after surgery or injury,Rekonstruktion av huddefekt efter skada eller operation på bålen
QBE40,Repair of anomaly or lesion after disease of skin of trunk,Rekonstruktion vid missbildning eller hudsjukdom på bålen
QBE50,Dermabrasion of superficial lesion of skin of trunk,Dermabrasion av ytlig förändring på bålen
QBE99,Other excision or repair of lesion of skin of trunk,Annan kutan/subkutan excision eller rekonstruktion på bålen
QBG,Operations for chronic ulcers and fistulae of skin of trunk,Operationer för kroniska sår och fistlar på bålen
QBG00,Debridement of bedsore of trunk,"Revision av liggsår på bålen, débridement"
QBG10,Excision and repair of bedsore of trunk,Excision med rekonstruktion vid liggsår på bålen
QBG20,Operation for chronic ulcer or fistula of skin of trunk,Excision/revision av kroniskt sår på bålen
QBG30,Delayed skin closure of surgical wound in trunk,Planerad sekundärsutur av operationssår i hud på bålen
QBG99,Other operation for chronic ulcer or fistula of skin,Annan operation för kroniskt sår på bålen
QBJ,Aesthetic operations on skin of trunk,Estetiskt betingade operationer på bålens hud/underhudsvävnader
QBJ00,Liposuction in trunk,Fettsugning på bålen
QBJ05,Other correction of loose or redundant skin of trunk,Estetiskt betingad hudreduktion på bålen
QBJ30,Correction of abdominal apron,Korrektion av hängbuk
QBJ99,Other aesthetic correction of skin of trunk,Annan operation av estetiska orsaker på bålens hud/underhudsvävnader
QBZ00,Botulin injections for hyperhidrosis of axilla,Botulin-injektioner mot hyperhidros i armhåla
QB0,Radiotherapy of skin of trunk,Strålbehandling av hud på bålen
QB001,Local radiotherapy of skin of trunk,Lokal strålbehandling av hud på bålen
QB1J4,,Termografi av bålen framifrån
QB1S1,,Fotografering av hud eller sukbutan vävnad på bålen framifrån
QB2S1,,Fotografering av hud eller subkutan vävnad på bröstkorgen
QB3S1,,Fotografering av hud eller subkutan vävnad på buken
QB4S1,,Fotografering av hud eller subkutan vävnad på ljumskar och genitalier (framifrån)
QB5J4,,Termografi av bålen bakifrån
QB5S1,,Fotografering av hud eller subkutan vävnad på ryggen
QB6S1,,Fotografering av hud eller subkutan vävnad på övre ryggen
QB7S1,,Fotografering av hud eller subkutan vävnad på nedre ryggen
QB8S1,,Fotografering av hud eller subkutan vävnad på höften eller sätet (bakifrån)
QB9J4,,Odefinierad termografi av bålen
QB9S1,,"Fotografering av hud eller subkutan vävnad på bålen, ospecificerat"
QB9V1,,Videoavbildning av hud eller subkutan vävnad på bålen
QC,,Hud och subkutan vävnad på övre extremitet
QC_,Upper limb dermatologic interventions,Övre extemitet dermatologiska åtgärder
QCA,Incision or local destruction of lesion of skin of upper limb,"Incision, biopsi och destruktion vid hudförändring, övre extremiteten"
QCA00,Puncture of skin of upper limb,"Punktion, övre extremiteten"
QCA10,Incision of skin of upper limb,"Incision/dränage, övre extremiteten"
QCA25,Destruction of lesion of skin of upper limb,"Destruktion av hudförändring, övre extremiteten"
QCA30,Electrocoagulation of skin of upper limb,"Elektrokoagulation av hudförändring, övre extremiteten"
QCA40,Laser therapy or photocoagulation of skin of upper limb,"Laserbehandling eller fotokoagulation av hudförändring, övre extremiteten"
QCA50,Cryotherapy of skin of upper limb,"Kryoterapi av hudförändring, övre extremiteten"
QCA60,Chemical treatment of skin of upper limb,"Kemisk behandling av hud, övre extremiteten"
QCA99,Other local destruction of skin of upper limb,"Annan punktion, incision eller biopsi vid hudförändring, övre extremiteten"
QCB,Procedures for wounds of skin of upper limb,"Sårbehandling, övre extremiteten"
QCB00,Suture of skin of upper limb,"Hudsutur, övre extremiteten"
QCB05,Revision of wound of skin of upper limb,Revision och sutur av djupt sår på övre etremiteten
QCB10,Major dressing of wound of skin of upper limb,Inspektion/förbandsbyte vid sår på övre extremiteten
QCB99,Other procedure for wound of skin of upper limb,"Annan sårbehandling, övre extremiteten"
QCC,Removal of foreign body from skin and miscellaneous locations,"Avlägsnande av kutan/subkutan främmande kropp, övre extremiteten"
QCC00,Removal of foreign body from skin or subcutaneous tissue of upper limb,"Avlägsnande av kutan/subkutan främmande kropp, övre extremiteten"
QCD,Procedures for burns of upper limb,"Behandling av brännskador, övre extremiteten"
QCD00,Dressing of major burn of upper limb,"Förbandsbyte vid brännskada, övre extremiteten"
QCD10,Debridement of burn of upper limb,"Revision av brännskada, övre extremiteten, débridement"
QCD20,Excision of burn of upper limb and coverage,"Excision och täckning av brännskada, övre extremiteten"
QCE,Excision and repair of lesion of skin of upper limb,"Excision och rekonstruktion vid kutana/subkutana förändringar, övre extremiteten"
QCE00,Excision of loose skin or fold of skin from upper limb,"Excision av hudveck eller överflödig hud, övre extremiteten"
QCE10,Excision of other lesion extending through all layers of skin in upper limb,"Excision av kutan/subkutan förändring från all skikter av hud, övre extremiteten"
QCE15,Excision of other superficial lesion of skin in upper limb,"Excision av ytlig hudförändring, övre extremiteten"
QCE20,Excision and repair of scar or web of skin of upper limb,"Excision av ärr eller hudkontraktur, övre extremiteten"
QCE25,Excision and repair of scar of upper limb caused by burn,"Excision/revision av ärr efter brännskada, övre extremiteten"
QCE30,Excision and repair of surgical scar in upper limb,"Excision/revision av operationsärr, övre extremiteten"
QCE35,Repair of skin defect in upper limb after surgery or injury,"Rekonstruktion av huddefekt efter skada eller operation, övre extremiteten"
QCE40,Repair of anomaly or lesion after disease of skin of upper limb,"Rekonstruktion vid missbildning eller hudsjukdom, övre extremiteten"
QCE50,Dermabrasion of superficial lesion of skin of upper limb,"Dermabrasion av ytlig hudförändring, övre extremiteten"
QCE99,Other excision or repair of lesion of skin of upper limb,"Annan kutan / subkutan excision eller rekonstruktion, övre extremiteten"
QCG,Operations for chronic ulcers and fistulae of skin of upper limb,"Operationer för kroniska sår och fistlar, övre extremiteten"
QCG20,Operation for chronic ulcer or fistula of skin of upper limb,"Operation för kroniskt sår, övre extremiteten"
QCG30,Delayed skin closure of surgical wound in upper limb,"Sekundärsutur av oiperationssår, övre extremiteten"
QCG99,Other operation for chronic ulcer or fistula of skin,"Annan operation för kroniskt sår eller fistel, övre extremiteten"
QCH,Operations on finger nails,Operationer på fingernaglarna
QCH00,Avulsion of finger nail,Avlägsnande av fingernagel
QCH01,Excision of nail bed in finger,Revision av fingernagelbädd
QCH05,Correction of deformity of finger nail,Revision av fingernageldeformitet
QCH10,Transplantation of nail to finger,Mikrokirurgisk transplantation av fingernagel
QCH40,Trephining of finger nail,Punktion av fingernagel
QCJ,,"Operationer av estetiska skäl, övre extremiteten"
QCJ00,Liposuction in upper limb,"Fettsugning, övre extremiteten"
QCJ05,Correction of loose or redundant skin of upper limb,"Resektion av hudöverskott, övre extremiteten"
QCJ99,Other aesthetic operations on skin of upper limb,Annan estetiskt betingad operation på övre extremitetens hud/underhudsvävnader
QCZ00,Botulin injections for hyperhidrosis of hands,Botulin-injektioner mot hyperhidros i händerna
QC0,Radiotherapy of skin of upper limb,Strålbehandling av övre extremiteten
QC001,Local radiotherapy of upper limb,Lokal strålbehandling av hud på övre extremiteten
QC1J4,,Termografi av axelregionen
QC1S1,,"Fotografering av hud eller subkutan vävnad på axel, skuldra eller armhåla"
QC2J4,,Termografi av överarmarna
QC2S1,,Fotografering av hud eller subkutan vävnad på överarm
QC3S1,,Fotografering av hud eller subkutan vävnad på armbåge eller armveck
QC4J4,,Termogafi av underarmarna
QC4S1,,Fotografering av hud eller subkutan vävnad på underarm
QC5J4,,Termografi av handlederna
QC5S1,,Fotografering av hud eller subkutan vävnad på handled
QC6J4,,Termografi av händerna
QC6S1,,Fotografering av hud eller subkutan vävnad på handen
QC7S1,,Fotografering av hud eller subkutan vävnad på fingrar
QC8S1,,Fotografering av fingernaglar
QC9J4,,Termografi av övre extremiteterna
QC9S1,,"Fotografering av hud eller subkutan vävnad på övre extremitet, ospecificerat"
QC9V1,,Videoavbildning av hud eller subkutan vävnad på övre extremitet
QD,Skin and subcutaneous tissue of lower limb,Hud och subkutan vävnad på nedre extremiteten
QD_,Lower limb dermatologic interventions,Nedre extemitet dermatologiska åtgärder
QDA,Incision or local destruction of lesion of skin of lower limb,"Incision, biopsi och destruktion vid hudförändring, nedre extremiteten"
QDA00,Puncture of skin of lower limb,"Punktion, nedre extremiteten"
QDA10,Incision of skin of lower limb,"Incision/dränage, nedre extremiteten"
QDA25,Destruction of lesion of skin of lower limb,"Destruktion av hudförändring, nedre extremiteten"
QDA30,Electrocoagulation of skin of lower limb,"Elektrokoagulation av hudförändring, nedre extremiteten"
QDA40,Laser therapy or photocoagulation of skin of lower limb,"Laserbehandling eller fotokoagulation av hudförändring, nedre extremiteten"
QDA50,Cryotherapy of skin of lower limb,"Kryoterapi av hudförändring, nedre extremiteten"
QDA60,Chemical treatment of skin of lower limb,"Kemisk behandling av hud, nedre extremiteten"
QDA99,Other local destruction of skin of lower limb,"Annan punktion, incision, biopsi eller destruktion vid hudförändring, nedre extremiteten"
QDB,Procedures for wounds of skin of lower limb,"Sårbehandling, nedre extremiteten"
QDB00,Suture of skin of lower limb,"Hudsutur, nedre extremiteten"
QDB05,Revision of wound of skin of lower limb,Revision och sutur av djupt sår på nedre extremiteten
QDB10,Major dressing of wound of skin of lower limb,Inspektion/förbandsbyte vid sår på nedre extremiteten
QDB99,Other procedure for wound of skin of lower limb,"Annan sårbehandling, nedre extremiteten"
QDC,Removal of foreign body from skin of lower limb,"Avlägsnande av kutana/subkutana främmande kroppar, nedre extremiteten"
QDC00,Removal of foreign body from skin or subcutaneous tissue of lower limb,"Avlägsnande av kutan/subkutan främmande kropp, nedre extremiteten"
QDD,Procedures for burns of lower limb,"Behandling av brännskador, nedre extremiteten"
